name,address,city,latitude,longitude,phone,website,has_adoration,has_confessions,country
Iglesia Nuestra Señora de Gracia,C/. Horno 18,Riogordo,36.9159803,-4.2937586,+34 952 73 21 97,,false,false,ES
Capilla Virgen del Pilar,,,39.989636,-0.1027768,,,false,false,ES
Iglesia de Santa Emerenciana,,,40.3292112,-1.1080394,,,false,false,ES
Santa Maria de Rubió,,,41.6441507,1.5698232,,,false,false,ES
Ermita de la Virgen de la Peña,,,42.4150951,-3.2459047,,,false,false,ES
Iglesia de San Joaquín y Santa Ana,,,38.0893452,-0.9758255,,,false,false,ES
Santa María,,,42.500534,-5.4186698,,,false,false,ES
Ermita,,,42.432945,-5.1536121,,,false,false,ES
Igreja São Pedro,,,39.1389176,-9.237027,,,false,false,ES
Capilla del Espiritu Santo,,,36.2765591,-6.0918181,,,false,false,ES
Nuestra Señora de las Nieves,,,38.6450186,0.044491,,,false,false,ES
Iglesia de Santa Catalina,,,43.3346219,-3.3131313,,,false,false,ES
Església Parroquial de Sant Pere,,,40.1206599,-0.1737538,,,false,false,ES
Iglesia Parroquial de Santo Domingo de Guzmán,,,39.9645524,-0.3953025,,,false,false,ES
Ermita de Sant Cristòfol,,,40.3268963,-0.1665187,,,false,false,ES
Ermita de Sant Roc,,,40.340276,-0.16522,,,false,false,ES
Ermita de Sant Josep,,,40.6434082,-0.200295,,,false,false,ES
Església Parroquial de la Mare de Déu de l'Assumpció,,,40.6462812,-0.1980487,,,false,false,ES
Basílica Santa Lucía del Trampal,,,39.1527731,-6.2226393,,,false,false,ES
Santa Maria de Vilalba,,,41.5114512,1.9315692,,,false,false,ES
São Tiago,,,39.0918798,-9.2602093,,,false,false,ES
Parroquia de Santa María,,,37.3443642,-2.4389302,,,false,false,ES
Santa Maria de Montessor,,,41.9253408,0.6420684,,,false,false,ES
Ermita de Nuestra Señora del Carmen,,,43.3486266,-3.7313487,,,false,false,ES
Sant Miguel del Port,,,41.3797927,2.1883932,,,false,false,ES
Iglesia de Santa María de la Asunción,,,43.3782222,-4.1767603,,,false,false,ES
Iglesia Parroquial San Julian,,,42.5327875,-0.6238574,,,false,false,ES
Corazón de Jesus,,,37.7982092,-1.5530146,,,false,false,ES
Iglesia Santa Maria Magdalena,,,42.6718104,-1.7286034,,,false,false,ES
Iglesia parroquial de San Esteban,Plaza San Esteban 3,,42.6897139,-1.7707455,,,false,false,ES
Iglesia de Santa María,,,43.3450019,-3.8642314,,,false,false,ES
Ermita de Santa Anna de Vallverda,,,38.2372411,-0.5953765,,,false,false,ES
Santa Maria del Mar,,,41.0761043,1.1298636,,,false,false,ES
